fam_id,redcap_event_name,task_complete_elt,exp_error_elt___0,exp_error_elt___1,exp_error_elt___2,exp_error_elt___3,exp_error_elt___4,exp_error_elt___5,exp_error_elt___6,exp_error_oth_elt,eltpart1_exp1,eltpart1_exp2,eltpart1_exp3,eltpart1_exp4,eltpart1_exp5,eltpart1_exp6,eltpart1_exp7,eltpart1_exp8,experimenter_point_total,eltpart2_rec1,eltpart2_rec2,eltpart2_rec3,eltpart2_rec4,child_point_total,oc_elt_notes,affect_knowledge_labeling_complete,task_complete_apt,exp_error_apt___0,exp_error_apt___1,exp_error_apt___2,exp_error_apt___3,exp_error_apt___4,exp_error_apt___5,exp_error_apt___6,exp_error_oth_apt,oc_apt_01,oc_apt_02,oc_apt_03,oc_apt_04,oc_apt_05,oc_apt_06,oc_apt_07,oc_apt_08,auto_score,oc_apt_total,notes_apt,affect_perspective_taking_complete,task_complete_bd,exp_error_bd___0,exp_error_bd___1,exp_error_bd___2,exp_error_bd___3,exp_error_bd___4,exp_error_bd___5,exp_error_bd___6,exp_error_oth_bd,oc_bd_p1,oc_bd_p2,oc_bd_p1tries,oc_bd_p2tries,oc_bd_brule,oc_bd_brtries,oc_bd_drule,oc_bd_drtries,oc_bd_01,oc_bd_02,oc_bd_03,oc_bd_04,oc_bd_05,oc_bd_06,oc_bd_07,oc_bd_08,oc_bd_09,oc_bd_10,oc_bd_notes,bear_score,dragon_score,total_correct_bd,auto,auto_total_points_bd,beardragon_complete,task_complete_dcs,exp_error_dcs___0,exp_error_dcs___1,exp_error_dcs___2,exp_error_dcs___3,exp_error_dcs___4,exp_error_dcs___5,exp_error_dcs___6,exp_error_oth_dcs,oc_dcs_01,oc_dcs_02,oc_dcs_03,oc_dcs_04,oc_dcs_05,oc_dcs_06,oc_dcs_07,oc_dcs_08,oc_dcs_09,oc_dcs_10,oc_dcs_11,oc_dcs_12,oc_dcs_13,oc_dcs_14,oc_dcs_15,oc_dcs_16,oc_dcs_17,oc_dcs_18,oc_dcs_19,oc_dcs_20,oc_dcs_21,oc_dcs_22,oc_dcs_23,oc_dcs_24,oc_dcs_25,oc_dcs_26,oc_dcs_27,oc_dcs_28,oc_dcs_29,oc_dcs_30,oc_dcs_31,oc_dcs_32,oc_dcs_33,oc_dcs_34,oc_dcs_35,oc_dcs_36,total_correct_dcs,total_administered_dcs,oc_dcs_notes,dimensional_card_sort_complete,task_complete_es,exp_error_es___0,exp_error_es___1,exp_error_es___2,exp_error_es___3,exp_error_es___4,exp_error_es___5,exp_error_es___6,exp_error_oth_es,oc_es_intblue,oc_es_intgreen,oc_es_intmom,oc_es_hapstrat,oc_es_hgen,oc_es_h1,oc_es_h2,oc_es_h3,happy_total,oc_es_angstrat,oc_es_agen,oc_es_a1,oc_es_a2,oc_es_a3,angry_total,oc_es_sadstrat,oc_es_sgen,oc_es_s1,oc_es_s2,oc_es_s3,sad_total,total_multiple_choice,total_score,oc_es_notes,emotion_strategies_puppet_task_complete
10001,time_1_arm_2,1,1,0,0,0,0,0,0,,happy,2,not happy,1,mad,2,mad,1,,1,1,1,1,,,2,1,1,0,0,0,0,0,0,,1,3,3,4,1,3,4,3,,14,,2,1,1,0,0,0,0,0,0,,1,1,1,1,1,1,0,1,3,1,3,3,3,3,3,3,1,0,,,,,,,2,3,0,0,0,0,0,1,0,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,Advanced-Post Switch B not done due to experimenter error.,2,1,1,0,0,0,0,0,0,,blue,greenie,,"pet them, bite me",0,0,1,1,,"hide them, bite me",0,0,1,0,,"bite me, bite my shirt",0,0,1,1,,,,,2
10001,time_2_arm_2,1,1,0,0,0,0,0,0,,Happy,2,Sad,2,Mad,2,scared,2,,1,1,1,1,,,2,1,1,0,0,0,0,0,0,,2,2,3,4,1,3,4,3,,13,,2,1,1,0,0,0,0,0,0,,1,1,1,2,1,1,0,1,3,3,3,3,3,3,3,3,3,3,,,,,,,2,5,1,0,0,0,0,0,0,No video ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,0,0,0,0,0,,Blue-ie,green,purple,clap  hug  kiss,0,0,0,1,,hide the toys  hide the presents,0,1,1,1,,look for the puppy,1,0,1,1,,,,,2
10001,time_3_arm_2,1,1,0,0,0,0,0,0,,Happy,2,sad,2,sad,1,scared,2,,1,1,1,1,,,2,1,1,0,0,0,0,0,0,,3,3,3,4,4,1,1,1,,5,,2,1,1,0,0,0,0,0,0,,1,1,1,1,1,1,0,1,3,3,3,3,3,3,3,3,3,3,,,,,,,2,,0,0,0,0,0,0,0,no video footage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no video,2,1,1,0,0,0,0,0,0,,blue,greenie,mommy,hide the present   hide both of them ,1,0,1,1,,hide the present  share,1,1,1,1,,look for the puppy,1,0,1,1,,,,,2
10001,time_4_arm_2,1,1,0,0,0,0,0,0,,Happy,2,Sad,2,Mad,2,Afraid,2,8,1,1,1,1,4,,2,1,1,0,0,0,0,0,0,,2,3,3,4,2,1,1,1,5,5,,2,1,1,0,0,0,0,0,0,,1,1,1,2,1,1,0,1,3,3,3,3,3,3,3,3,3,0,,5,4,9,2,27,2,3,0,0,0,0,0,1,0,,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,12,24,The experimenter did not administer the Advanced-Post Switch B section of the task although the child was eligible to continue with this section of the task.,2,1,1,0,0,0,0,0,0,,Blue,Greenie,Mommy,Get the puppy back.  Play.,0,0,1,1,2,Get a different toy.  Greenie can take the toy that he took.  Blue can take the toy from the toy box and play with it.,1,0,1,1,3,Look for puppy.,1,0,1,1,3,6,8,,2
10002,time_1_arm_2,1,1,0,0,0,0,0,0,,Happy,2,sad,2,Mad,2,Surprised,1,,1,1,1,1,,,2,1,1,0,0,0,0,0,0,,1,2,3,4,1,2,3,3,,15,,2,1,1,0,0,0,0,0,0,,1,0,1,6,1,1,0,3,3,1,3,3,3,3,3,3,3,3,,,,,,,2,1,1,0,0,0,0,0,0,,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,1,0,,,,2,1,1,0,0,0,0,0,0,,Blue,Greenie,kerry,"sad, happy",0,0,0,0,,"happy, sad",0,0,0,0,,"happy and sad, mad",0,1,1,0,,,,,2
10002,time_2_arm_2,1,1,0,0,0,0,0,0,,smilin,1,Sad,2,Angry,2,Surprised,2,,1,1,1,1,,,2,1,1,0,0,0,0,0,0,,1,2,3,4,1,2,4,3,,16,,2,1,1,0,0,0,0,0,0,,1,1,1,1,1,1,0,1,3,3,3,3,3,3,3,3,3,3,,,,,,,2,6,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,0,0,0,0,0,0,,Blue,Greenie,Mommy,"calm down and take 2 deep breaths,calendar that helps not feel mad/sad",1,0,0,0,,"take 4 deep breaths, stop being so angry",1,1,1,1,,take three deep breaths,1,1,1,1,,,,,2
10003,time_1_arm_2,1,1,0,0,0,0,0,0,,Laugh,1,Sad,2,Mad,2,Scream,1,,1,1,1,1,,,2,1,1,0,0,0,0,0,0,,1,2,3,3,1,2,4,3,,15,,2,1,1,0,0,0,0,0,0,,1,1,1,1,1,1,0,1,3,3,3,3,3,3,3,3,3,3,,,,,,,2,3,0,0,0,0,0,1,0,,1,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,,,,,,,,,,,,,,,Experimenter discontinued task after Integrated Test Trials,2,1,1,0,0,0,0,0,0,,Blue,Greenie,Mommy,Be quiet,1,0,0,0,,Ask for present back  Be good ,0,1,0,1,,Share the toy  Clean the room,0,1,1,1,,,,,2
10003,time_2_arm_2,1,1,0,0,0,0,0,0,,Happy,2,Sad,2,Mad,2,Scared,2,,0,1,1,1,,,2,1,1,0,0,0,0,0,0,,1,2,3,4,1,2,4,3,,16,,2,1,1,0,0,0,0,0,0,,1,1,1,1,1,1,0,1,3,3,3,3,3,3,3,1,3,3,,,,,,,2,2,0,0,0,0,0,1,0,,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,,,,,,,,,,,,,,,experimenter discontinued,2,1,1,0,0,0,0,0,0,,Blue,Greenie,Mommy,stop for mom  take away the present to give to someone else  ring jingle bell  throw it in garbage,2,0,0,0,,can't stop laughing  have to scream,0,0,0,1,,stop crying,1,0,1,1,,,,,2
10003,time_4_arm_2,1,1,0,0,0,0,0,0,,Happy,2,sad,2,mad,2,scared,2,8,1,1,1,1,4,,2,1,1,0,0,0,0,0,0,,4,2,2,2,2,2,2,2,14,14,,2,1,1,0,0,0,0,0,0,,1,1,1,1,1,1,0,1,3,3,3,3,3,3,3,3,3,0,,5,4,9,0,27,2,1,1,0,0,0,0,0,0,,1,1,1,1,1,1,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,7,14,,2,1,1,0,0,0,0,0,0,,blue,greenie,mommy,Calm down and relax.,1,1,0,1,3,Color. They could play a game with each other or make jokes.,3,1,1,1,6,They should stop crying and I'll find it. Read a book. Wait till moms back and look for puppy.,1,1,1,1,4,8,13,,2
10004,time_1_arm_2,1,1,0,0,0,0,0,0,,Good,1,Crying,0,Crying,0,Crying,0,,0,0,1,0,,,2,1,1,0,0,0,0,0,0,,1,4,1,1,1,4,1,1,,6,,2,1,1,0,0,0,0,0,0,,1,1,4,5,1,1,0,5,3,0,3,0,3,0,3,0,3,0,,,,,,,2,2,1,0,0,0,0,0,1,Task continued after child failed out.,0,0,0,0,0,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stopped scoring after child got 7 wrong across Separated Test Trials even though task continued.,2,1,1,0,0,0,0,0,0,,Blue,Greenie,Mom,stop feeling so happy  stop being so happy,0,0,0,1,,take the toys  stop feeling so angry,0,1,0,0,,stop feeling so sad,0,1,0,1,,,,,2
